width,height,iterations,cpu_time_ms,upload_ms,compute_ms,download_ms,total_ms,speedup_total,speedup_compute
64,64,500,3.482,0.549,55.183,0.109,55.841,0.062,0.063
128,128,500,15.481,0.210,58.225,0.105,58.540,0.264,0.266
256,256,500,56.977,0.364,68.242,0.134,68.740,0.829,0.835
512,512,500,229.201,0.668,95.981,0.294,96.943,2.364,2.388
1024,1024,500,909.637,2.547,208.390,0.906,211.842,4.294,4.365
64,64,500,3.476,0.192,55.354,0.109,55.656,0.062,0.063
128,128,500,15.829,0.204,59.005,0.105,59.314,0.267,0.268
256,256,500,58.866,0.366,66.684,0.129,67.179,0.876,0.883
512,512,500,231.707,0.742,94.510,0.312,95.564,2.425,2.452
1024,1024,500,911.183,2.496,270.306,0.863,273.666,3.330,3.371
64,64,500,3.508,0.199,57.727,0.112,58.038,0.060,0.061
128,128,500,14.489,0.209,58.099,0.102,58.410,0.248,0.249
256,256,500,57.478,0.363,75.610,0.128,76.101,0.755,0.760
512,512,500,229.520,0.624,94.344,0.288,95.257,2.409,2.433
1024,1024,500,910.855,2.413,268.627,0.845,271.885,3.350,3.391
64,64,500,3.870,0.186,53.671,0.107,53.964,0.072,0.072
128,128,500,14.645,0.210,60.750,0.101,61.061,0.240,0.241
256,256,500,58.156,0.355,67.506,0.127,67.988,0.855,0.862
512,512,500,229.622,0.725,94.754,0.303,95.783,2.397,2.423
1024,1024,500,915.668,2.434,267.466,0.891,270.790,3.381,3.423
64,64,500,3.523,0.192,52.909,0.112,53.212,0.066,0.067
128,128,500,14.921,0.210,59.395,0.105,59.710,0.250,0.251
256,256,500,57.923,0.353,65.368,0.127,65.848,0.880,0.886
512,512,500,227.504,0.641,95.022,0.283,95.946,2.371,2.394
1024,1024,500,919.436,2.507,269.960,0.865,273.332,3.364,3.406
64,64,500,3.434,0.356,51.338,0.114,51.808,0.066,0.067
128,128,500,15.189,0.215,59.094,0.106,59.415,0.256,0.257
256,256,500,58.274,0.350,64.358,0.131,64.838,0.899,0.905
512,512,500,228.715,0.651,97.368,0.297,98.316,2.326,2.349
1024,1024,500,908.402,2.369,269.506,0.947,272.822,3.330,3.371
64,64,500,3.529,0.188,50.456,0.112,50.755,0.070,0.070
128,128,500,15.785,0.209,59.256,0.106,59.571,0.265,0.266
256,256,500,57.613,0.365,64.836,0.129,65.330,0.882,0.889
512,512,500,229.302,0.672,94.623,0.302,95.598,2.399,2.423
1024,1024,500,912.452,2.524,271.728,0.875,275.126,3.316,3.358
64,64,500,3.592,0.191,52.408,0.117,52.716,0.068,0.069
128,128,500,16.353,0.210,57.484,0.103,57.797,0.283,0.284
256,256,500,57.650,0.358,63.700,0.131,64.189,0.898,0.905
512,512,500,230.040,0.632,94.386,0.294,95.312,2.414,2.437
1024,1024,500,910.645,2.411,270.337,0.899,273.647,3.328,3.369
64,64,500,3.651,0.195,53.563,0.105,53.863,0.068,0.068
128,128,500,14.546,0.203,58.984,0.105,59.291,0.245,0.247
256,256,500,56.530,0.356,69.339,0.128,69.824,0.810,0.815
512,512,500,229.239,0.654,96.942,0.285,97.882,2.342,2.365
1024,1024,500,935.752,2.683,269.701,0.838,273.223,3.425,3.470
64,64,500,3.492,0.288,54.465,0.107,54.860,0.064,0.064
128,128,500,15.780,0.205,60.115,0.103,60.423,0.261,0.263
256,256,500,57.923,0.354,67.098,0.132,67.584,0.857,0.863
512,512,500,231.286,0.633,95.753,0.292,96.678,2.392,2.415
1024,1024,500,910.158,2.396,270.699,0.910,274.006,3.322,3.362
64,64,500,3.514,0.200,62.753,0.131,63.084,0.056,0.056
128,128,500,15.252,0.200,60.920,0.099,61.218,0.249,0.250
256,256,500,57.581,0.356,65.052,0.128,65.536,0.879,0.885
512,512,500,228.883,0.640,94.361,0.285,95.286,2.402,2.426
1024,1024,500,915.104,2.518,266.537,0.867,269.922,3.390,3.433
64,64,500,3.506,0.194,56.958,0.111,57.262,0.061,0.062
128,128,500,14.554,0.212,60.104,0.113,60.430,0.241,0.242
256,256,500,58.043,0.357,72.065,0.130,72.552,0.800,0.805
512,512,500,228.851,0.641,94.750,0.290,95.682,2.392,2.415
1024,1024,500,923.475,2.529,278.529,0.894,281.952,3.275,3.316
